"filename", "language", "Dart", "comment", "blank", "total"
"d:\flutter_dreamscape\lib\app.dart", "Dart", 83, 0, 7, 90
"d:\flutter_dreamscape\lib\config\base_url_config.dart", "Dart", 4, 0, 1, 5
"d:\flutter_dreamscape\lib\core\blocs\auth\auth_bloc.dart", "Dart", 27, 0, 8, 35
"d:\flutter_dreamscape\lib\core\blocs\auth\auth_event.dart", "Dart", 18, 0, 7, 25
"d:\flutter_dreamscape\lib\core\blocs\auth\auth_state.dart", "Dart", 20, 0, 8, 28
"d:\flutter_dreamscape\lib\core\error\excetpions\exceptions.dart", "Dart", 2, 0, 1, 3
"d:\flutter_dreamscape\lib\core\error\excetpions\form_exceptions.dart", "Dart", 19, 0, 5, 24
"d:\flutter_dreamscape\lib\core\error\excetpions\secure_storage_exceptions.dart", "Dart", 4, 0, 2, 6
"d:\flutter_dreamscape\lib\core\error\failure.dart", "Dart", 20, 0, 8, 28
"d:\flutter_dreamscape\lib\core\usecase\usecase.dart", "Dart", 10, 0, 3, 13
"d:\flutter_dreamscape\lib\data\auth\auth.dart", "Dart", 1, 0, 1, 2
"d:\flutter_dreamscape\lib\data\auth\auth_repository.dart", "Dart", 93, 0, 16, 109
"d:\flutter_dreamscape\lib\data\auth\models\models.dart", "Dart", 1, 0, 1, 2
"d:\flutter_dreamscape\lib\data\auth\models\user.dart", "Dart", 31, 0, 5, 36
"d:\flutter_dreamscape\lib\data\collection\collection.dart", "Dart", 1, 0, 1, 2
"d:\flutter_dreamscape\lib\data\collection\collection_repository.dart", "Dart", 154, 0, 19, 173
"d:\flutter_dreamscape\lib\data\collection\models\collection.dart", "Dart", 27, 0, 6, 33
"d:\flutter_dreamscape\lib\data\collection\models\collection_paged_list.dart", "Dart", 27, 0, 7, 34
"d:\flutter_dreamscape\lib\data\collection\models\models.dart", "Dart", 2, 0, 1, 3
"d:\flutter_dreamscape\lib\data\image\image.dart", "Dart", 2, 0, 1, 3
"d:\flutter_dreamscape\lib\data\image\image_repository.dart", "Dart", 123, 0, 24, 147
"d:\flutter_dreamscape\lib\data\image\models\color.dart", "Dart", 20, 0, 3, 23
"d:\flutter_dreamscape\lib\data\image\models\image.dart", "Dart", 45, 0, 6, 51
"d:\flutter_dreamscape\lib\data\image\models\image_paged_list.dart", "Dart", 25, 0, 6, 31
"d:\flutter_dreamscape\lib\data\image\models\models.dart", "Dart", 5, 0, 1, 6
"d:\flutter_dreamscape\lib\data\image\models\resolution.dart", "Dart", 14, 0, 3, 17
"d:\flutter_dreamscape\lib\data\image\models\tag.dart", "Dart", 11, 0, 3, 14
"d:\flutter_dreamscape\lib\data\secure_storage\secure_storage.dart", "Dart", 1, 0, 1, 2
"d:\flutter_dreamscape\lib\data\secure_storage\secure_storage_repository.dart", "Dart", 5, 0, 2, 7
"d:\flutter_dreamscape\lib\data\user\models\models.dart", "Dart", 1, 0, 1, 2
"d:\flutter_dreamscape\lib\data\user\models\user.dart", "Dart", 12, 0, 3, 15
"d:\flutter_dreamscape\lib\data\user\user.dart", "Dart", 1, 0, 1, 2
"d:\flutter_dreamscape\lib\data\user\user_repository.dart", "Dart", 23, 0, 6, 29
"d:\flutter_dreamscape\lib\domain\repository\auth_repository_abstract.dart", "Dart", 18, 0, 3, 21
"d:\flutter_dreamscape\lib\domain\repository\collection_repository_abstract.dart", "Dart", 24, 0, 7, 31
"d:\flutter_dreamscape\lib\domain\repository\image_repository_abstract.dart", "Dart", 27, 0, 8, 35
"d:\flutter_dreamscape\lib\domain\repository\user_repository_abstract.dart", "Dart", 4, 0, 2, 6
"d:\flutter_dreamscape\lib\domain\usecase\collection\append_image_to_collection.dart", "Dart", 34, 0, 8, 42
"d:\flutter_dreamscape\lib\domain\usecase\collection\create_collection.dart", "Dart", 39, 0, 8, 47
"d:\flutter_dreamscape\lib\domain\usecase\collection\get_paged_user_collection_list.dart", "Dart", 38, 0, 8, 46
"d:\flutter_dreamscape\lib\domain\usecase\collection\remove_image_from_collection.dart", "Dart", 34, 0, 8, 42
"d:\flutter_dreamscape\lib\domain\usecase\image\get_image.dart", "Dart", 24, 0, 8, 32
"d:\flutter_dreamscape\lib\domain\usecase\image\get_paged_image_list.dart", "Dart", 69, 0, 8, 77
"d:\flutter_dreamscape\lib\domain\usecase\image\get_paged_similar_image_list.dart", "Dart", 44, 0, 7, 51
"d:\flutter_dreamscape\lib\feature\image\bloc\image_bloc.dart", "Dart", 30, 0, 8, 38
"d:\flutter_dreamscape\lib\feature\image\bloc\image_event.dart", "Dart", 9, 0, 3, 12
"d:\flutter_dreamscape\lib\feature\image\bloc\image_state.dart", "Dart", 10, 0, 6, 16
"d:\flutter_dreamscape\lib\feature\image\image.dart", "Dart", 1, 0, 0, 1
"d:\flutter_dreamscape\lib\feature\image\view\image_screen.dart", "Dart", 191, 0, 15, 206
